eventID,occurrenceID,scientificName,verbatimIdentification,scientificNameID,scientificNameAuthorship,taxonomicStatus,taxonRank,individualCount,kingdom,phylum,class,order,family,genus,specificEpithet,basisOfRecord,occurrenceStatus
IYS2022-Spirit-5-1-Trawl-2,IYS2022-Spirit-5-1-Trawl-2-1,Oncorhynchus kisutch,Coho salmon,urn:lsid:marinespecies.org:taxname:127184,"(Walbaum, 1792)",accepted,Species,2,Animalia,Chordata,Teleostei,Salmoniformes,Salmonidae,Oncorhynchus,kisutch,HumanObservation,present
IYS2022-Spirit-5-1-Trawl-2,IYS2022-Spirit-5-1-Trawl-2-2,Oncorhynchus keta,Chum salmon,urn:lsid:marinespecies.org:taxname:127183,"(Walbaum, 1792)",accepted,Species,7,Animalia,Chordata,Teleostei,Salmoniformes,Salmonidae,Oncorhynchus,keta,HumanObservation,present
IYS2022-Spirit-5-1-Trawl-2,IYS2022-Spirit-5-1-Trawl-2-3,Oncorhynchus gorbuscha,Pink salmon,urn:lsid:marinespecies.org:taxname:127182,"(Walbaum, 1792)",accepted,Species,1,Animalia,Chordata,Teleostei,Salmoniformes,Salmonidae,Oncorhynchus,gorbuscha,HumanObservation,present
IYS2022-Spirit-5-1-Trawl-3,IYS2022-Spirit-5-1-Trawl-3-1,Oncorhynchus mykiss,Steelhead,urn:lsid:marinespecies.org:taxname:127185,"(Walbaum, 1792)",accepted,Species,4,Animalia,Chordata,Teleostei,Salmoniformes,Salmonidae,Oncorhynchus,mykiss,HumanObservation,present
IYS2022-Spirit-5-2-Trawl-5,IYS2022-Spirit-5-2-Trawl-5-1,Oncorhynchus mykiss,Steelhead,urn:lsid:marinespecies.org:taxname:127185,"(Walbaum, 1792)",accepted,Species,2,Animalia,Chordata,Teleostei,Salmoniformes,Salmonidae,Oncorhynchus,mykiss,HumanObservation,present
IYS2022-Spirit-5-2-Trawl-5,IYS2022-Spirit-5-2-Trawl-5-2,Oncorhynchus nerka,Sockeye salmon,urn:lsid:marinespecies.org:taxname:254569,"(Walbaum, 1792)",accepted,Species,29,Animalia,Chordata,Teleostei,Salmoniformes,Salmonidae,Oncorhynchus,nerka,HumanObservation,present
IYS2022-Spirit-5-2-Trawl-5,IYS2022-Spirit-5-2-Trawl-5-3,Oncorhynchus kisutch,Coho salmon,urn:lsid:marinespecies.org:taxname:127184,"(Walbaum, 1792)",accepted,Species,2,Animalia,Chordata,Teleostei,Salmoniformes,Salmonidae,Oncorhynchus,kisutch,HumanObservation,present
IYS2022-Spirit-5-2-Trawl-5,IYS2022-Spirit-5-2-Trawl-5-4,Oncorhynchus keta,Chum salmon,urn:lsid:marinespecies.org:taxname:127183,"(Walbaum, 1792)",accepted,Species,4,Animalia,Chordata,Teleostei,Salmoniformes,Salmonidae,Oncorhynchus,keta,HumanObservation,present
IYS2022-Spirit-5-2-Trawl-5,IYS2022-Spirit-5-2-Trawl-5-5,Oncorhynchus gorbuscha,Pink salmon,urn:lsid:marinespecies.org:taxname:127182,"(Walbaum, 1792)",accepted,Species,1,Animalia,Chordata,Teleostei,Salmoniformes,Salmonidae,Oncorhynchus,gorbuscha,HumanObservation,present
IYS2022-Spirit-5-2-Trawl-5,IYS2022-Spirit-5-2-Trawl-5-6,Oncorhynchus tshawytscha,Chinook salmon,urn:lsid:marinespecies.org:taxname:158075,"(Walbaum, 1792)",accepted,Species,1,Animalia,Chordata,Teleostei,Salmoniformes,Salmonidae,Oncorhynchus,tshawytscha,HumanObservation,present
IYS2022-Spirit-5-3-Trawl-7,IYS2022-Spirit-5-3-Trawl-7-1,Oncorhynchus mykiss,Steelhead,urn:lsid:marinespecies.org:taxname:127185,"(Walbaum, 1792)",accepted,Species,1,Animalia,Chordata,Teleostei,Salmoniformes,Salmonidae,Oncorhynchus,mykiss,HumanObservation,present
IYS2022-Spirit-5-3-Trawl-7,IYS2022-Spirit-5-3-Trawl-7-2,Oncorhynchus nerka,Sockeye salmon,urn:lsid:marinespecies.org:taxname:254569,"(Walbaum, 1792)",accepted,Species,9,Animalia,Chordata,Teleostei,Salmoniformes,Salmonidae,Oncorhynchus,nerka,HumanObservation,present
IYS2022-Spirit-5-3-Trawl-7,IYS2022-Spirit-5-3-Trawl-7-3,Oncorhynchus kisutch,Coho salmon,urn:lsid:marinespecies.org:taxname:127184,"(Walbaum, 1792)",accepted,Species,1,Animalia,Chordata,Teleostei,Salmoniformes,Salmonidae,Oncorhynchus,kisutch,HumanObservation,present
IYS2022-Spirit-5-3-Trawl-7,IYS2022-Spirit-5-3-Trawl-7-4,Oncorhynchus gorbuscha,Pink salmon,urn:lsid:marinespecies.org:taxname:127182,"(Walbaum, 1792)",accepted,Species,1,Animalia,Chordata,Teleostei,Salmoniformes,Salmonidae,Oncorhynchus,gorbuscha,HumanObservation,present
IYS2022-Spirit-5-4-Trawl-9,IYS2022-Spirit-5-4-Trawl-9-1,Oncorhynchus nerka,Sockeye salmon,urn:lsid:marinespecies.org:taxname:254569,"(Walbaum, 1792)",accepted,Species,6,Animalia,Chordata,Teleostei,Salmoniformes,Salmonidae,Oncorhynchus,nerka,HumanObservation,present
IYS2022-Spirit-5-4-Trawl-9,IYS2022-Spirit-5-4-Trawl-9-2,Oncorhynchus kisutch,Coho salmon,urn:lsid:marinespecies.org:taxname:127184,"(Walbaum, 1792)",accepted,Species,3,Animalia,Chordata,Teleostei,Salmoniformes,Salmonidae,Oncorhynchus,kisutch,HumanObservation,present
IYS2022-Spirit-5-6-Trawl-12,IYS2022-Spirit-5-6-Trawl-12-1,Oncorhynchus mykiss,Steelhead,urn:lsid:marinespecies.org:taxname:127185,"(Walbaum, 1792)",accepted,Species,2,Animalia,Chordata,Teleostei,Salmoniformes,Salmonidae,Oncorhynchus,mykiss,HumanObservation,present
IYS2022-Spirit-5-6-Trawl-12,IYS2022-Spirit-5-6-Trawl-12-2,Oncorhynchus kisutch,Coho salmon,urn:lsid:marinespecies.org:taxname:127184,"(Walbaum, 1792)",accepted,Species,14,Animalia,Chordata,Teleostei,Salmoniformes,Salmonidae,Oncorhynchus,kisutch,HumanObservation,present
IYS2022-Spirit-5-6-Trawl-15,IYS2022-Spirit-5-6-Trawl-15-1,Oncorhynchus mykiss,Steelhead,urn:lsid:marinespecies.org:taxname:127185,"(Walbaum, 1792)",accepted,Species,4,Animalia,Chordata,Teleostei,Salmoniformes,Salmonidae,Oncorhynchus,mykiss,HumanObservation,present
IYS2022-Spirit-5-6-Trawl-15,IYS2022-Spirit-5-6-Trawl-15-2,Oncorhynchus kisutch,Coho salmon,urn:lsid:marinespecies.org:taxname:127184,"(Walbaum, 1792)",accepted,Species,5,Animalia,Chordata,Teleostei,Salmoniformes,Salmonidae,Oncorhynchus,kisutch,HumanObservation,present
IYS2022-Spirit-5-6-Trawl-15,IYS2022-Spirit-5-6-Trawl-15-3,Oncorhynchus keta,Chum salmon,urn:lsid:marinespecies.org:taxname:127183,"(Walbaum, 1792)",accepted,Species,1,Animalia,Chordata,Teleostei,Salmoniformes,Salmonidae,Oncorhynchus,keta,HumanObservation,present
IYS2022-Spirit-5-7-Trawl-16,IYS2022-Spirit-5-7-Trawl-16-1,Oncorhynchus mykiss,Steelhead,urn:lsid:marinespecies.org:taxname:127185,"(Walbaum, 1792)",accepted,Species,1,Animalia,Chordata,Teleostei,Salmoniformes,Salmonidae,Oncorhynchus,mykiss,HumanObservation,present
IYS2022-Spirit-5-7-Trawl-16,IYS2022-Spirit-5-7-Trawl-16-2,Oncorhynchus kisutch,Coho salmon,urn:lsid:marinespecies.org:taxname:127184,"(Walbaum, 1792)",accepted,Species,4,Animalia,Chordata,Teleostei,Salmoniformes,Salmonidae,Oncorhynchus,kisutch,HumanObservation,present
IYS2022-Spirit-5-7-Trawl-16,IYS2022-Spirit-5-7-Trawl-16-3,Oncorhynchus keta,Chum salmon,urn:lsid:marinespecies.org:taxname:127183,"(Walbaum, 1792)",accepted,Species,2,Animalia,Chordata,Teleostei,Salmoniformes,Salmonidae,Oncorhynchus,keta,HumanObservation,present
IYS2022-Spirit-5-7-Trawl-16,IYS2022-Spirit-5-7-Trawl-16-4,Oncorhynchus gorbuscha,Pink salmon,urn:lsid:marinespecies.org:taxname:127182,"(Walbaum, 1792)",accepted,Species,3,Animalia,Chordata,Teleostei,Salmoniformes,Salmonidae,Oncorhynchus,gorbuscha,HumanObservation,present
IYS2022-Spirit-5-7-Trawl-17,IYS2022-Spirit-5-7-Trawl-17-1,Oncorhynchus mykiss,Steelhead,urn:lsid:marinespecies.org:taxname:127185,"(Walbaum, 1792)",accepted,Species,12,Animalia,Chordata,Teleostei,Salmoniformes,Salmonidae,Oncorhynchus,mykiss,HumanObservation,present
IYS2022-Spirit-5-7-Trawl-17,IYS2022-Spirit-5-7-Trawl-17-2,Oncorhynchus nerka,Sockeye salmon,urn:lsid:marinespecies.org:taxname:254569,"(Walbaum, 1792)",accepted,Species,1,Animalia,Chordata,Teleostei,Salmoniformes,Salmonidae,Oncorhynchus,nerka,HumanObservation,present
IYS2022-Spirit-5-7-Trawl-17,IYS2022-Spirit-5-7-Trawl-17-3,Oncorhynchus kisutch,Coho salmon,urn:lsid:marinespecies.org:taxname:127184,"(Walbaum, 1792)",accepted,Species,1,Animalia,Chordata,Teleostei,Salmoniformes,Salmonidae,Oncorhynchus,kisutch,HumanObservation,present
IYS2022-Spirit-5-7-Trawl-17,IYS2022-Spirit-5-7-Trawl-17-4,Oncorhynchus keta,Chum salmon,urn:lsid:marinespecies.org:taxname:127183,"(Walbaum, 1792)",accepted,Species,1,Animalia,Chordata,Teleostei,Salmoniformes,Salmonidae,Oncorhynchus,keta,HumanObservation,present
IYS2022-Spirit-5-7-Trawl-17,IYS2022-Spirit-5-7-Trawl-17-5,Oncorhynchus gorbuscha,Pink salmon,urn:lsid:marinespecies.org:taxname:127182,"(Walbaum, 1792)",accepted,Species,1,Animalia,Chordata,Teleostei,Salmoniformes,Salmonidae,Oncorhynchus,gorbuscha,HumanObservation,present
IYS2022-Spirit-5-8-Trawl-19,IYS2022-Spirit-5-8-Trawl-19-1,Oncorhynchus kisutch,Coho salmon,urn:lsid:marinespecies.org:taxname:127184,"(Walbaum, 1792)",accepted,Species,4,Animalia,Chordata,Teleostei,Salmoniformes,Salmonidae,Oncorhynchus,kisutch,HumanObservation,present
IYS2022-Spirit-5-8-Trawl-19,IYS2022-Spirit-5-8-Trawl-19-2,Oncorhynchus keta,Chum salmon,urn:lsid:marinespecies.org:taxname:127183,"(Walbaum, 1792)",accepted,Species,2,Animalia,Chordata,Teleostei,Salmoniformes,Salmonidae,Oncorhynchus,keta,HumanObservation,present
IYS2022-Spirit-5-8-Trawl-19,IYS2022-Spirit-5-8-Trawl-19-3,Oncorhynchus gorbuscha,Pink salmon,urn:lsid:marinespecies.org:taxname:127182,"(Walbaum, 1792)",accepted,Species,2,Animalia,Chordata,Teleostei,Salmoniformes,Salmonidae,Oncorhynchus,gorbuscha,HumanObservation,present
IYS2022-Spirit-5-8-Trawl-20,IYS2022-Spirit-5-8-Trawl-20,Oncorhynchus mykiss,Steelhead,urn:lsid:marinespecies.org:taxname:127185,"(Walbaum, 1792)",accepted,Species,1,Animalia,Chordata,Teleostei,Salmoniformes,Salmonidae,Oncorhynchus,mykiss,HumanObservation,present
IYS2022-Spirit-5-8-Trawl-20,IYS2022-Spirit-5-8-Trawl-20,Oncorhynchus kisutch,Coho salmon,urn:lsid:marinespecies.org:taxname:127184,"(Walbaum, 1792)",accepted,Species,4,Animalia,Chordata,Teleostei,Salmoniformes,Salmonidae,Oncorhynchus,kisutch,HumanObservation,present
IYS2022-Spirit-5-8-Trawl-20,IYS2022-Spirit-5-8-Trawl-20,Oncorhynchus keta,Chum salmon,urn:lsid:marinespecies.org:taxname:127183,"(Walbaum, 1792)",accepted,Species,1,Animalia,Chordata,Teleostei,Salmoniformes,Salmonidae,Oncorhynchus,keta,HumanObservation,present
IYS2022-Spirit-5-9-Trawl-22,IYS2022-Spirit-5-9-Trawl-22-1,Oncorhynchus mykiss,Steelhead,urn:lsid:marinespecies.org:taxname:127185,"(Walbaum, 1792)",accepted,Species,1,Animalia,Chordata,Teleostei,Salmoniformes,Salmonidae,Oncorhynchus,mykiss,HumanObservation,present
IYS2022-Spirit-5-10-Trawl-25,IYS2022-Spirit-5-10-Trawl-25-1,Oncorhynchus mykiss,Steelhead,urn:lsid:marinespecies.org:taxname:127185,"(Walbaum, 1792)",accepted,Species,1,Animalia,Chordata,Teleostei,Salmoniformes,Salmonidae,Oncorhynchus,mykiss,HumanObservation,present
IYS2022-Spirit-5-10-Trawl-25,IYS2022-Spirit-5-10-Trawl-25-2,Oncorhynchus kisutch,Coho salmon,urn:lsid:marinespecies.org:taxname:127184,"(Walbaum, 1792)",accepted,Species,4,Animalia,Chordata,Teleostei,Salmoniformes,Salmonidae,Oncorhynchus,kisutch,HumanObservation,present
IYS2022-Spirit-5-11-Trawl-26,IYS2022-Spirit-5-11-Trawl-26-1,Oncorhynchus mykiss,Steelhead,urn:lsid:marinespecies.org:taxname:127185,"(Walbaum, 1792)",accepted,Species,14,Animalia,Chordata,Teleostei,Salmoniformes,Salmonidae,Oncorhynchus,mykiss,HumanObservation,present
IYS2022-Spirit-5-11-Trawl-26,IYS2022-Spirit-5-11-Trawl-26-2,Oncorhynchus nerka,Sockeye salmon,urn:lsid:marinespecies.org:taxname:254569,"(Walbaum, 1792)",accepted,Species,4,Animalia,Chordata,Teleostei,Salmoniformes,Salmonidae,Oncorhynchus,nerka,HumanObservation,present
IYS2022-Spirit-5-11-Trawl-26,IYS2022-Spirit-5-11-Trawl-26-3,Oncorhynchus kisutch,Coho salmon,urn:lsid:marinespecies.org:taxname:127184,"(Walbaum, 1792)",accepted,Species,1,Animalia,Chordata,Teleostei,Salmoniformes,Salmonidae,Oncorhynchus,kisutch,HumanObservation,present
IYS2022-Spirit-5-11-Trawl-26,IYS2022-Spirit-5-11-Trawl-26-4,Oncorhynchus keta,Chum salmon,urn:lsid:marinespecies.org:taxname:127183,"(Walbaum, 1792)",accepted,Species,1,Animalia,Chordata,Teleostei,Salmoniformes,Salmonidae,Oncorhynchus,keta,HumanObservation,present
IYS2022-Spirit-5-11-Trawl-26,IYS2022-Spirit-5-11-Trawl-26-5,Oncorhynchus gorbuscha,Pink salmon,urn:lsid:marinespecies.org:taxname:127182,"(Walbaum, 1792)",accepted,Species,1,Animalia,Chordata,Teleostei,Salmoniformes,Salmonidae,Oncorhynchus,gorbuscha,HumanObservation,present
IYS2022-Spirit-5-14-Trawl-30,IYS2022-Spirit-5-14-Trawl-30-1,Oncorhynchus mykiss,Steelhead,urn:lsid:marinespecies.org:taxname:127185,"(Walbaum, 1792)",accepted,Species,3,Animalia,Chordata,Teleostei,Salmoniformes,Salmonidae,Oncorhynchus,mykiss,HumanObservation,present
IYS2022-Spirit-5-14-Trawl-30,IYS2022-Spirit-5-14-Trawl-30-2,Oncorhynchus keta,Chum salmon,urn:lsid:marinespecies.org:taxname:127183,"(Walbaum, 1792)",accepted,Species,1,Animalia,Chordata,Teleostei,Salmoniformes,Salmonidae,Oncorhynchus,keta,HumanObservation,present
IYS2022-Spirit-5-14-Trawl-31,IYS2022-Spirit-5-14-Trawl-31-1,Oncorhynchus mykiss,Steelhead,urn:lsid:marinespecies.org:taxname:127185,"(Walbaum, 1792)",accepted,Species,2,Animalia,Chordata,Teleostei,Salmoniformes,Salmonidae,Oncorhynchus,mykiss,HumanObservation,present
IYS2022-Spirit-5-14-Trawl-31,IYS2022-Spirit-5-14-Trawl-31-2,Oncorhynchus kisutch,Coho salmon,urn:lsid:marinespecies.org:taxname:127184,"(Walbaum, 1792)",accepted,Species,1,Animalia,Chordata,Teleostei,Salmoniformes,Salmonidae,Oncorhynchus,kisutch,HumanObservation,present
IYS2022-Spirit-5-14-Trawl-31,IYS2022-Spirit-5-14-Trawl-31-3,Oncorhynchus keta,Chum salmon,urn:lsid:marinespecies.org:taxname:127183,"(Walbaum, 1792)",accepted,Species,8,Animalia,Chordata,Teleostei,Salmoniformes,Salmonidae,Oncorhynchus,keta,HumanObservation,present
IYS2022-Spirit-5-15-Trawl-34,IYS2022-Spirit-5-15-Trawl-34-1,Oncorhynchus mykiss,Steelhead,urn:lsid:marinespecies.org:taxname:127185,"(Walbaum, 1792)",accepted,Species,5,Animalia,Chordata,Teleostei,Salmoniformes,Salmonidae,Oncorhynchus,mykiss,HumanObservation,present
IYS2022-Spirit-5-16-Trawl-36,IYS2022-Spirit-5-16-Trawl-36,Oncorhynchus mykiss,Steelhead,urn:lsid:marinespecies.org:taxname:127185,"(Walbaum, 1792)",accepted,Species,4,Animalia,Chordata,Teleostei,Salmoniformes,Salmonidae,Oncorhynchus,mykiss,HumanObservation,present
IYS2022-Spirit-5-16-Trawl-36,IYS2022-Spirit-5-16-Trawl-36,Oncorhynchus nerka,Sockeye salmon,urn:lsid:marinespecies.org:taxname:254569,"(Walbaum, 1792)",accepted,Species,1,Animalia,Chordata,Teleostei,Salmoniformes,Salmonidae,Oncorhynchus,nerka,HumanObservation,present
IYS2022-Spirit-5-16-Trawl-36,IYS2022-Spirit-5-16-Trawl-36,Oncorhynchus kisutch,Coho salmon,urn:lsid:marinespecies.org:taxname:127184,"(Walbaum, 1792)",accepted,Species,1,Animalia,Chordata,Teleostei,Salmoniformes,Salmonidae,Oncorhynchus,kisutch,HumanObservation,present
IYS2022-Spirit-5-16-Trawl-36,IYS2022-Spirit-5-16-Trawl-36,Oncorhynchus keta,Chum salmon,urn:lsid:marinespecies.org:taxname:127183,"(Walbaum, 1792)",accepted,Species,1,Animalia,Chordata,Teleostei,Salmoniformes,Salmonidae,Oncorhynchus,keta,HumanObservation,present
